,time,TopTrafficLights,BottomTrafficLights,rightTrafficlights,1to2Ped,4to3Ped,2to3Ped,1to4Ped
565,2605.4,green,green,red,red,red,green,green
566,2605.5,green,green,red,red,red,green,green
567,2605.6,green,green,red,red,red,green,green
568,2605.7,green,green,red,red,red,green,green
569,2605.8,green,green,red,red,red,green,green
570,2605.9,green,green,red,red,red,green,green
571,2606,green,green,red,red,red,green,green
572,2606.1,green,green,red,red,red,green,green
573,2606.2,green,green,red,red,red,green,green
574,2606.3,green,green,red,red,red,green,green
575,2606.4,green,green,red,red,red,green,green
576,2606.5,green,green,red,red,red,green,green
577,2606.6,green,green,red,red,red,green,green
578,2606.7,green,green,red,red,red,green,green
579,2606.8,green,green,red,red,red,green,green
580,2606.9,green,green,red,red,red,green,green
581,2607,green,green,red,red,red,green,green
582,2607.1,green,green,red,red,red,green,green
583,2607.2,green,green,red,red,red,green,green
584,2607.3,green,green,red,red,red,green,green
585,2607.4,green,green,red,red,red,green,green
586,2607.5,green,green,red,red,red,green,green
587,2607.6,green,green,red,red,red,green,green
588,2607.7,green,green,red,red,red,green,green
589,2607.8,green,green,red,red,red,green,green
590,2607.9,green,green,red,red,red,green,green
591,2608,green,green,red,red,red,green,green
592,2608.1,green,green,red,red,red,green,green
593,2608.2,green,green,red,red,red,green,green
594,2608.3,green,green,red,red,red,green,green
595,2608.4,green,green,red,red,red,green,green
596,2608.5,green,green,red,red,red,green,green
597,2608.6,green,green,red,red,red,green,green
598,2608.7,green,green,red,red,red,green,green
599,2608.8,green,green,red,red,red,green,green
600,2608.9,green,green,red,red,red,green,green
601,2609,green,green,red,red,red,green,green
602,2609.1,green,green,red,red,red,green,green
603,2609.2,green,green,red,red,red,green,green
604,2609.3,green,green,red,red,red,green,green
605,2609.4,green,green,red,red,red,green,green
606,2609.5,green,green,red,red,red,green,green
607,2609.6,green,green,red,red,red,green,green
608,2609.7,green,green,red,red,red,green,green
609,2609.8,green,green,red,red,red,green,green
610,2609.9,green,green,red,red,red,green,green
611,2610,green,green,red,red,red,green,green
612,2610.1,green,green,red,red,red,green,green
613,2610.2,green,green,red,red,red,green,green
